,basophil,eosinophil,erythroblast,lymphocyte,monocyte,platelet,promyelocyte,myelocyte,metamyelocyte,ig,band,segmented
basophil,1215,0,1,0,1,0,0,0,1,0,0,0
eosinophil,0,3116,0,0,0,0,0,0,0,0,1,0
erythroblast,0,0,1010,0,1,1,0,0,0,0,0,0
lymphocyte,0,0,1,1212,1,0,0,0,0,0,0,0
monocyte,1,0,0,1,1416,0,2,0,0,0,0,0
platelet,0,0,0,0,0,2348,0,0,0,0,0,0
promyelocyte,0,0,0,0,5,0,548,37,1,0,1,0
myelocyte,0,0,0,0,0,0,20,1075,41,0,1,0
metamyelocyte,0,0,0,0,5,0,10,30,954,0,16,0
ig,0,0,0,0,0,0,0,0,0,151,0,0
band,1,5,0,0,0,0,0,0,16,0,1558,55
segmented,0,0,0,0,0,0,0,0,0,0,51,1593
