clase_real,clase_predicha,n
band,segmented,55
segmented,band,51
myelocyte,metamyelocyte,41
promyelocyte,myelocyte,37
metamyelocyte,myelocyte,30
myelocyte,promyelocyte,20
metamyelocyte,band,16
band,metamyelocyte,16
metamyelocyte,promyelocyte,10
metamyelocyte,monocyte,5
band,eosinophil,5
promyelocyte,monocyte,5
monocyte,promyelocyte,2
erythroblast,monocyte,1
eosinophil,band,1
basophil,monocyte,1
basophil,metamyelocyte,1
basophil,erythroblast,1
band,basophil,1
lymphocyte,erythroblast,1
erythroblast,platelet,1
lymphocyte,monocyte,1
monocyte,basophil,1
monocyte,lymphocyte,1
myelocyte,band,1
promyelocyte,band,1
promyelocyte,metamyelocyte,1
